City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
432,daru,-9.0763,143.2092,26.33,69,61,6.17,PG,1690006043
433,taunggyi,20.7833,97.0333,25.32,73,55,1.04,MM,1690006044
434,kurnool,15.8309,78.0425,29.02,63,94,10.39,IN,1690005888
435,mossel bay,-34.1831,22.146,7.96,69,100,0.97,ZA,1690006045
436,lerwick,60.1545,-1.1494,12.0,83,35,2.74,GB,1690006046
437,marsabit,2.3284,37.9899,19.43,61,53,10.94,KE,1690006046
438,koungheul,13.9833,-14.8,26.22,83,52,3.06,SN,1690006047
439,zheleznogorsk-ilimskiy,56.5768,104.1217,30.12,28,0,0.53,RU,1690006048
440,binzhou,37.3667,118.0167,30.01,62,73,3.07,CN,1690006048
441,atar,20.5169,-13.0499,31.51,27,65,0.74,MR,1690006049
442,saint-joseph,-21.3667,55.6167,24.15,82,79,7.21,RE,1690006050
443,quesnel,52.9999,-122.5029,14.98,90,20,2.07,CA,1690006051
444,yinchuan,38.4681,106.2731,33.62,15,6,1.89,CN,1690005926
445,mantua,45.1667,10.7833,23.38,89,35,1.34,IT,1690006054
446,srivardhan,18.0333,73.0167,25.71,92,100,4.58,IN,1690006054
447,kourou,5.1552,-52.6478,24.03,90,68,3.03,GF,1690006055
448,frutal,-20.0247,-48.9406,18.26,67,12,2.87,BR,1690006056
449,coahuayana de hidalgo,18.7,-103.6583,26.35,87,89,0.9,MX,1690006057
450,san patricio,28.017,-97.5169,29.36,79,1,4.31,US,1690006057
451,pangoa,-12.1167,-73.0,21.56,75,84,1.11,PE,1690006058
452,zlynka,52.4267,31.7378,20.9,62,100,1.98,RU,1690006059
453,callao,-12.0667,-77.15,21.16,73,100,6.17,PE,1690006060
454,ewo,-0.8725,14.8206,25.6,56,75,3.72,CG,1690006060
455,carutapera,-1.195,-46.02,22.39,89,6,1.93,BR,1690006061
456,aral,40.5156,81.2636,38.83,12,22,6.32,CN,1690006061
457,chuzhou,32.3219,118.2978,31.58,72,92,3.9,CN,1690006062
458,twon-brass,4.3151,6.2418,25.37,86,100,7.53,NG,1690006063
459,molchanovo,57.5817,83.7692,26.54,52,57,2.61,RU,1690006063
460,iquique,-20.2208,-70.1431,18.02,69,5,2.22,CL,1690006064
461,hami,42.8,93.45,35.76,12,99,6.8,CN,1690006064
462,dzhetygara,52.1908,61.2006,25.23,40,80,5.1,KZ,1690006065
463,ritchie,-29.038,24.6028,8.61,87,6,7.31,ZA,1690006066
464,turkmenbasy,40.0222,52.9552,33.99,24,31,4.99,TM,1690006066
465,awjilah,29.1081,21.2869,30.92,33,0,1.96,LY,1690006067
466,san martin,-33.081,-68.4681,10.12,55,26,5.24,AR,1690006005
467,ndele,8.4109,20.6473,23.16,94,97,1.51,CF,1690006068
468,tukrah,32.5341,20.5791,30.44,44,0,2.76,LY,1690006069
469,dzhalagash,45.0833,64.6667,32.69,20,68,5.96,KZ,1690006070
470,rwamagana,-1.9487,30.4347,16.69,42,61,2.48,RW,1690006070
471,port douglas,-16.4833,145.4667,23.73,64,15,3.65,AU,1690006071
472,sabang,5.8933,95.3214,28.72,75,95,10.88,ID,1690006071
473,bolnisi,41.4479,44.5384,25.77,51,0,1.3,GE,1690006072
474,axim,4.8699,-2.2405,23.88,91,88,4.08,GH,1690006073
475,kristiansund,63.1115,7.732,14.03,93,75,0.0,NO,1690006074
476,al muharraq,26.2572,50.6119,40.1,35,0,2.57,BH,1690006074
477,angaur state,6.906,134.13,28.38,79,100,6.13,PW,1690006075
478,island harbour,50.724,-1.2758,16.63,84,97,1.79,GB,1690006076
479,qamdo,31.1667,97.2333,17.4,27,5,0.07,CN,1690006076
480,mili,6.0815,171.735,27.88,74,99,2.0,MH,1690006077
481,agadez,19.75,10.25,31.15,21,19,3.58,NE,1690005826
482,pauini,-7.7136,-66.9764,21.69,65,0,0.51,BR,1690006079
483,sovata,46.5833,25.0667,20.38,86,79,2.07,RO,1690006080
484,korablino,53.9164,40.0133,18.89,63,31,4.04,RU,1690006081
485,quellon,-43.1167,-73.6167,6.14,93,100,2.06,CL,1690006082
486,mount pleasant,32.7941,-79.8626,27.78,82,20,0.89,US,1690006082
487,shimokizukuri,40.8061,140.3861,29.18,71,68,1.88,JP,1690006083
488,altai,46.3722,96.2583,21.44,28,56,4.66,MN,1690006083
489,almeirim,-1.5233,-52.5817,23.06,77,38,1.59,BR,1690006084
490,jinhua,29.1078,119.6547,30.36,75,99,0.67,CN,1690005915
491,jayapura,-2.5333,140.7,34.66,67,78,2.38,ID,1690005753
492,as sulayyil,20.4607,45.5779,39.22,7,84,1.85,SA,1690006087
493,fort bragg,35.139,-79.006,26.06,81,0,0.45,US,1690006088
494,san clemente,33.427,-117.612,24.87,89,17,2.68,US,1690006088
495,san agustin de valle fertil,-30.6335,-67.4682,17.55,22,99,2.31,AR,1690006089
496,sosnogorsk,63.6023,53.8817,16.78,76,100,2.64,RU,1690006091
497,cururupu,-1.8283,-44.8683,22.42,89,7,0.95,BR,1690006092
498,bowen,-20.0167,148.2333,22.8,63,61,4.6,AU,1690006093
499,hilo,19.7297,-155.09,27.93,87,100,1.54,US,1690006094
500,sinazongwe,-17.2614,27.4618,19.63,63,3,3.2,ZM,1690006095
501,shijiang,27.0819,110.7933,34.78,53,88,4.46,CN,1690006095
502,ust'-kulom,61.6864,53.6902,15.98,87,99,3.03,RU,1690006096
503,happy valley-goose bay,53.3168,-60.3315,18.73,61,97,3.15,CA,1690006097
504,namdrik,5.5994,168.1028,26.61,80,100,3.14,MH,1690006097
505,ribeira brava,32.65,-17.0667,22.35,72,1,2.84,PT,1690006098
506,kiruna,67.8557,20.2251,6.51,93,100,3.6,SE,1690006099
507,ushtobe,45.2514,77.9838,36.3,14,0,2.66,KZ,1690006099
508,souillac,-20.5167,57.5167,23.62,65,4,7.49,MU,1690006100
509,suntar,62.1444,117.6319,28.39,45,91,2.63,RU,1690006100
510,east end,34.5507,-92.341,23.49,92,83,1.93,US,1690006101
511,pandan,14.0453,124.1694,29.7,72,85,5.21,PH,1690006102
512,howard springs,-12.497,131.047,32.95,25,22,1.59,AU,1690006102
513,boca suno,-0.7167,-77.1333,20.58,99,100,1.05,EC,1690006104
514,hibbing,47.4272,-92.9377,15.79,100,0,1.54,US,1690006104
515,sheridan,44.8333,-106.9173,20.17,69,0,2.06,US,1690006105
